subject,body,label,model_prediction
Notification: Expiry Alert 3/10/2025,"jose@monkey.org,

This is to notify you Your password for jose@monkey.org expires today.
Follow instruction below to keep your current password and update your account..

Keep Current Password https://b2hu3hhssz.eu-west-3.awsapprunner.com/?username=jose@monkey.org

© 2025

Privacy Policy https://ermt4sdhyk.us-east-1.awsapprunner.com/?username=sales@crestbadges.com

**DISCLAIMER:** This message is confidential and intended solely for the recipient. If you have received this message in error, please notify the sender immediately and delete it from your system. No confidentiality or privilege is waived or lost due to any mis-transmission.",1,0
Cashback Acknowledgement,USAA Rewards Contact Centre. Your points allocated for your every month transactions is now available in cashback. Simply download and open attached below to confirm redemption receipt . Redeem Here. REMEMBER: Reward:Earn up to 1.25% cash back (Opens pop-up layer) on your everyday purchases. There's no limit on the amount you can earn. Redeem your cash rewards anytime using your mobile device or computer.,1,0
Intermittent Latency Spikes on Our Staging Server,"Hi Aetheros Support,

We've been experiencing intermittent latency spikes on our staging server hosted on your cloud platform over the past few days. The spikes are sporadic and don't seem to follow a pattern.

We've checked our application logs and haven't found anything conclusive.

Could you please investigate this issue and provide assistance in resolving it?

Thanks,
John Doe",0,0
Notice from PayPal - Identity protection matters,"PayPal September 2006 Dear users of PayPal services, Due to upcoming year 2006, and recent changes in PayPal's Service Agreement you need to submit additional details on your PayPal account. Starting from 2006 all PayPal accounts will come with complete detailed information! Identity protection matters. And PayPal works day and night to help keep your identity safe. Identity protection matters. Get Verified! According the new changes in Service Agreement any unverified account will be deleted from the system in 72 hours after receiving this letter. Your Account Tips to Protect Your Account PayPal's world class fraud investigators share 5 important actions you can take to help prevent identity theft and protect your account. Update Your Profile If you've closed a credit card or bank account recently, remember to go to PayPal's website to update your profile. Identity Protection Highlights New spoof tutorial Learn how to spot and avoid fraudulent ""spoof"" emails and websites with PayPal's handy 5-step spoof tutorial. Protect yourself with tools Guard yourself against ""spoof"" emails with the SafetyBar, and against fraudulent websites with the eBay Toolbar. Checklist if you are a victim... When you suspect a problem with your identity, you have to act fast. Use PayPal's checklist for what you should do. Merchant Offers FREE Norton AntiSpam download with purchase of Norton AntiVirus. Unlimited listening and downloading. All the music you want. FREE trial. Learn about and fund locally run social and environmental projects. Thank You for using PayPal! This notification was sent to you by PayPal. To modify your notification preferences, log in to your PayPal account, click the Profile sub-tab, then click the Notifications link under Account Information. Changes may take up to 10 days to be reflected in our mailings. PayPal will not sell or rent any of your personally identifiable information to third parties. For more information about the security of your information, read our Privacy Policy at Copyright © 2006 PayPal Inc. All rights reserved. Designated trademarks and brands are the property of their respective owners. PayPal is located at 2211 N. First St., San Jose, CA 95131.",1,0
"PO Approval Required: €71,386","Purchase Order Request:

Vendor: SteelCo GmbH
Amount: €4,222
Description: Equipment rental
Urgency: Urgent - Production down

Please approve in system.

Abdul",0,0
Rachel Ray Cucina Cookware Set Exclusive Rewards For You,"<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><p style=""color:white""></p>
<center>
<p style=""text-align: center;"">
<a href=""https://t.co/Ys6yT0nEMs"" target=""_blank"" style=""text-decoration:none;"">
<span style=""font:30px calibri; color:#ec1313; ""> <b>Congratulations!<p>TJ Maxx Customer Support<p> <p>We Have a Surprise For Rachel Ray Cucina Cookware Set Customers<p>
</b></span></a>Final Notice Coming for a Rachel Ray Cucina Cookware Set Reward<br><br><br>
<a href=""https://t.co/Ys6yT0nEMs"" target=""_blank"" style=""text-decoration:none;"">
<span style=""font:25px calibri; color:#1d1b10;background-color: #ffc000

;padding:5px 55px;border-radius:00px; ""> <b>hurry up ! Rewards have arrived!</b></span></a>
</p>
<a href=""https://t.co/Ys6yT0nEMs"" style=""text-decoration:none""><br>
<br>
<img width=""100%"" src=""https://i.imgur.com/EDWNytN.jpg""><img width=""100%"" src=""//i.imgur.com/EDWNytN.jpg""><br>
<br><br>
</a>

<center>
<h6>
<br>You may unsubscribe at any time.
<a href=""https://t.co/tcv0TuoY6k"" style=""color:#404040 !important;text-decoration: underline; -ms-text-size-adjust:100%; -webkit-text-size-adjust:100%; "">
Unsubscribe</a><br> or by writing to 9101 W. Sahara Ave, Las Vegas, NV 89117
</h6>

<br><br><br><br>
<h6>
If you no longer wish to receive these emails, you may unsubscribe by clicking

<a href=""http://dtherhproblem.us/su47141zRNny22448528UwXX49413JOl68811XSeF3227"" style=""color:#404040 !important;text-decoration: underline; -ms-text-size-adjust:100%; -webkit-text-size-adjust:100%; "">
CLICK HERE</a><br>110 N Interstate 35, Round Rock, TX 78681</h6>
</center>

<img alt="""" src=""http://vertuoldmuneted.com/track/o47141ZrNSk22448528oJur49413Awq68811PbZv3227"" width=""1px"" height=""1px"" style=""visibility:hidden"">

<style>
<a href

44e22e35+++0ab5+++dd0c+++f994+++5b103d9b1d42b

3cefb018+++3f2f+++f5e7+++3478+++148cf91fe9954

01f469a7+++c5f7+++60a1+++97f2+++0b4311362eb6a

b31d1c6d+++e2f6+++47b2+++69de+++2389f064efccc

6e2159c1+++86c8+++3913+++54c0+++cb45cb4384924

516adf31+++4274+++d934+++0f11+++1cd61a5cd76b3

10c92f7a+++fa01+++9d0a+++09b7+++a97fd3c8ef998

307592fb+++27bb+++6e08+++0fa6+++7396e7e2c4e1c

4120c38e+++68e4+++7d29+++3691+++2516fb77d1ad9

95bed6f6+++1618+++f7f3+++fd45+++3bb5921673438

0967eb65+++fd39+++447e+++a92e+++e4b1937b90fd9

ff1ec9eb+++9b7c+++afec+++0c78+++44c5da1b99771

81e1d4b7+++ff8b+++221b+++3833+++a1eb65f147af8

452c4d4e+++d26e+++43a8+++7a17+++02c0534572e95

863aeb1c+++8917+++9edc+++ddd2+++ac1f0d913dee2

7b11769b+++a589+++5813+++46c7+++8928952253572

6d7b63d6+++1424+++a4a4+++ab46+++ac98a7759c25b

7053c1aa+++456a+++7972+++47b2+++16a427189b209

5b0bd63e+++d714+++da36+++1e30+++bb8d1788cddcd

9cd47b09+++544f+++3dbb+++fb98+++2611c1205fd45

84d9029f+++d705+++e0ab+++d100+++84af773453774

1b758adb+++22d0+++7650+++d000+++07f4f50f45480

0b474d74+++c49b+++1159+++9f06+++170aede305540

24411f2e+++b881+++1f94+++742c+++50caa10aab9af

937fc3fa+++f8a7+++83d5+++3409+++229a1107f9d45

c73f63ff+++21b8+++5c50+++3f20+++33afc8842e31f

343744cc+++72a9+++b7c1+++14b1+++0907a1339f986

da37fa06+++ec5e+++182d+++78a1+++bbacc5f1129e4

092f13ed+++5785+++4753+++d24d+++2ab40963d1675

6733b2a1+++c058+++84ac+++b52a+++d5aa0c24d1780

c2086943+++5a85+++3747+++118a+++24e4298d84234

3eb1afaf+++7a1c+++1322+++76ce+++83a5058b665d3

fe7973eb+++7138+++9e93+++4e40+++5ac1bafe6ea70

00d39ac1+++c3ef+++631e+++012f+++9679746345835

46027aa8+++863f+++f9fb+++5b07+++0f9cdb15a4609

9d34bf09+++28e8+++195b+++e086+++1e827ea61252b

f2097b22+++280c+++c17a+++039b+++e3513ad3c81ba

e10f1e2d+++897d+++ab8a+++d043+++6357128453f7c

af03525b+++0559+++27bd+++8a31+++781d21671164a

53d779e8+++0cef+++e57a+++d1d1+++d8ed3461e7a19

cf5a0e0e+++c81e+++e3d8+++e49e+++ed196a4b6645c

5c359d3c+++73e5+++78ce+++5a4f+++70e7dcc3d3ece

df619f02+++1bc3+++bbc6+++4f97+++4ce36a3ceded3

d35736ea+++6bc6+++3bcc+++870e+++91a8d327dcf31

16cd1bce+++474b+++5503+++95a6+++5e00997946187

ac16084b+++2c64+++a6f6+++6b3f+++9d6a3cdf5db7d

3431a270+++fbd8+++9179+++4435+++33eb6c2ab7e76

1d194e18+++b5df+++844d+++a8c6+++88ab7ff22f8ad

7cfdc01a+++9e39+++1295+++e27b+++aba53e1182b61

83ca098a+++7e21+++2d18+++2924+++336e8d561e3c8

4d898fef+++9d2a+++5732+++d62f+++0f952e404bcf1

5d8ce722+++6846+++3e11+++6697+++1b5c31568da96

3e007b80+++c276+++46fa+++bd35+++3d93e246ed5d6

1e0e278e+++2379+++cc0b+++5f9e+++acebdf958d802

03eaf15f+++a19a+++2d75+++bced+++47b48141dee50

e4a62fd7+++7277+++6ccd+++d362+++3e8774339206b

af1c2404+++3ee0+++8f28+++3e5a+++dac1e3031954e

7d716dd6+++8d43+++fcfa+++d18b+++3824c56a69390

4fd6c128+++8879+++9016+++9b7e+++c41e79a6733e5

f85275da+++b0c2+++ac1c+++28b1+++7b8668ee5669c

a99ee888+++3e49+++d9e8+++19fe+++3f8435f066652

65a7b286+++b143+++1de9+++e26c+++161bdd6ba3e9a

51c23c3b+++10bd+++9f83+++5e8e+++2c834d56d469e

a8af8187+++5a60+++7f1a+++9652+++4bc7595e9e004

5235e65e+++17b1+++b354+++02f4+++d3c738503a80b

0268ef41+++f042+++8e02+++8a57+++82de01516a637

33d5a1d5+++fb10+++f2b2+++9ee5+++84379746e9ad3

40675459+++fe7f+++929c+++741c+++d54aecbc519ba

f49a7708+++7f26+++07f3+++3f56+++d3668797e265e

789eafec+++58f8+++1e8b+++309d+++e84f8bd9779b9

779595e4+++d727+++5c35+++7f36+++66a94414f7260

300a5069+++441d+++6b61+++a9b6+++fe422eecb9cbc

822d4021+++dee5+++4c26+++10ee+++9bec7bbdd9d0f

1a4d3705+++8386+++ca65+++21c5+++f9b9c4f76f263

90e9365c+++f1f0+++2f7e+++72bc+++56fb5c0b31cd8

b1d841e9+++7852+++d03b+++c99a+++03ade635932c6

4677fad5+++f957+++3bd7+++f405+++ee52ca91fcdfb

71fcaf79+++df21+++abdc+++eedd+++6e8e4ed9b3d27

e55c85e0+++948e+++9d1e+++115d+++11f839fb68a89

de8a1ce1+++bd01+++eef4+++bf16+++6de8f8f89baec

4b646469+++752c+++dd4d+++464d+++650b4d6eee758

04e83d72+++844b+++ca83+++14b2+++6b4cc89f3e520

df1cf323+++7db9+++0b12+++5d73+++4e4c0c425b4d7

e4b79b45+++ab52+++6550+++622b+++5b5657f61a638

c780e822+++0687+++3500+++642a+++90b0e733c6903

f447136e+++975c+++dc66+++3e63+++418d2bede6f12

8727788d+++a293+++cef3+++8cba+++73eede577a0eb

07c69160+++8980+++f1fa+++f76f+++f6af8c507b7cb

6183045e+++f728+++4276+++b14a+++33bb317605ac1

d9fd95bf+++b657+++7a58+++a440+++31d29684efab4

fa840fc0+++d8ee+++3b2d+++d0b2+++fc7d0f02eb61b

e0124ee7+++17cf+++b2f0+++e728+++af6ea105d5400

ed96bf11+++d07b+++6901+++0ad8+++17e31397af620

eae549fb+++50d1+++887b+++9cd9+++3b8b6255e1076

aa9de582+++2d19+++c1b1+++eb7a+++865d77ae1e2be

c060c14f+++d772+++cc83+++9a2b+++227d75138cc7c

2567de3f+++e3b1+++5f72+++3f99+++f47828f195e55

f4c18dd2+++039b+++2a03+++ebf9+++59e78a382a5f1

272da768+++4b8b+++99e1+++9d7f+++bce384cde8b3c

9fc70190+++56ac+++3a89+++5c6f+++d8ff3f8db99e8

aad20661+++632c+++c9b8+++8c51+++4bf576324fb43

78d3f944+++d006+++3637+++5bc6+++96f4e8945d814

2d1aa92d+++e389+++6063+++553d+++d0813653b10d3

dc9b0455+++83b0+++73bd+++6fe1+++42e931c7f1e5d

b1fc5b38+++c981+++f4e1+++2992+++6ea6cbad0d107

60a9c3ae+++1963+++d29b+++a36b+++e4846acb600d8

b57ac1c3+++04e7+++5ff9+++1f09+++a6eb7a4303962

e7292e37+++1400+++08f5+++a148+++fbe27d95c286c

c072b560+++1597+++a64d+++708d+++390d55dc6f8db

b84246d2+++b385+++05d3+++f4b2+++3b307efdb9abf

f3e731a0+++eebb+++4cdf+++354f+++cdb7e94a992d0

90643ae4+++5b99+++5ef5+++bb47+++54562e502435e

cda21a3e+++248b+++795e+++5bdf+++d9d0efdaac496

f02f5eb8+++a26c+++0f5e+++24db+++445caafb44322

e03441ec+++b75e+++dff5+++8012+++5ebe1a3ae9c2a

975943e4+++0ff8+++867f+++4c5d+++89d3b6896e100

24750d75+++3d02+++d498+++433f+++1cc6c205350a7

2655cba7+++029c+++0db2+++8df9+++bc29e290b39a4

b0f89db2+++6417+++9e6f+++e776+++c2cf965df4e35

19e37b13+++7c91+++d7b2+++e241+++a3b4873255b52

583cc782+++3f46+++a641+++163f+++9c9658af6b8fd

df426a38+++c470+++40bf+++703a+++3e04a90a5f132

4b28c5cc+++f0dd+++bcb9+++5f6b+++cb70bb2493d2c

12f76320+++471d+++432c+++700f+++e61540944b206

318ad8c3+++b0cb+++9dd4+++fcf3+++a08ca5601f111

c6a60e9b+++bd86+++2134+++b1bd+++7f60705870448

0e7aaf86+++1770+++44e7+++b44b+++fa81f32bc7736

88de8aff+++7b0b+++7268+++b75e+++cfff5cfc46cdd

068abf86+++6fe3+++a41f+++5d9f+++650b87822771c

ca66ce3e+++83d5+++98d9+++8489+++f9d201c7921ba

90c9f900+++5eaf+++4bd3+++65ef+++461cd8db0df2a

2e786560+++692e+++69ea+++6ee4+++76c64d04cd204

f09c98f2+++ff15+++957e+++a3e3+++8a8048302bf4a

4946934e+++1baa+++ec85+++0204+++04c1153ca2337

af84af11+++ca0b+++a0c2+++9f84+++6827eb01e8533

bb390aa9+++95f0+++4037+++5148+++81b09e3abedb6

9655d445+++efa5+++3414+++18ad+++1a8e33a2cdfd9

f4c61564+++238f+++829a+++5b35+++7c9d963744b2f

b99b874e+++9f4e+++81c0+++b1dd+++de2a7af95c5f7

1658b14f+++8a09+++dd7f+++2183+++e34aa3e33eda3

842bc324+++31a9d73+++38ad+++7fe7+++05054d1fdbc1c

275bfbe2+++9e87+++4799+++ce26+++757b2c7d76389

ba8ec+++3c54+++d945+++8638+++0a60fa453bb0f

>

</html>",1,0
Did You Do This?,"CMU archived phishing listing entry.

Date: 8/25/25
Target Audience: Staff/Students/Faculty
Source Entry: https://www.cmu.edu/iso/aware/phish/phish-bowl-examples/2025/did-you-do-this.html

Note: The linked CMU detail page currently redirects to a general Secure Computing page, so the original message body is not publicly available from the live site.",1,0
Je hebt een Oral B iO Series 9 gewonnen,"<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><center>
<table width=""600px"">
<tr>
<td><div style=""padding:5px;background:#e2091f;color:#FFFFFF;text-align:center;font-weight:900;"">Het kost je maar een minuut om deze fantastische prijs te ontvangen!</div></td>
</tr>

<tr><td style=""text-align:center"">
<div style=""font-size:24px;padding:30px 5px 5px 30px;"">Neem een enquête en win een beloning!</div>
<a href=""https://click.sas.aprimarse.com/QkE1ZnMyM24yZWRhMTdPTXhmRHkvdERwRWFESk9vUmFXY3VQVDZwL1JHRUQ5eHNsUmFINXEyUzR5bjVKZTBwZkNsVWFrNFZEWnhVaFc5SjQvWVBRN1dZQXNKL2VYNHNPbDdKU29DVTVPVGs9"" style=""text-decoration:none;"">
<div style=""font-size:24px;padding:30px 5px 5px 30px;color:#e2091f;"">ORAL-B SERIES 9 PRO ELEKTRISCHE TANDENBORSTEL!</div>
</a>
</td></tr>
<tr><td height=""479px"" background=""//i.imgur.com/V6LXF4m.png"" style=""text-align:center;"">
<div style=""width:600px;height:479px;background-image:url('https://i.imgur.com/V6LXF4m.png');text-align:center;"">
<center><a href=""https://click.sas.aprimarse.com/QkE1ZnMyM24yZWRhMTdPTXhmRHkvdERwRWFESk9vUmFXY3VQVDZwL1JHRUQ5eHNsUmFINXEyUzR5bjVKZTBwZkNsVWFrNFZEWnhVaFc5SjQvWVBRN1dZQXNKL2VYNHNPbDdKU29DVTVPVGs9"" style=""text-decoration:none;"">
<div style=""width:297px;height:223px;background-image:url('https://i.imgur.com/O4r8i7w.png')""><img src=""//i.imgur.com/O4r8i7w.png"" width=""297px"" height=""223px""> </div>
</a>
<div style=""font-size:36px;color:#FFFFFF"">Gefeliciteerd!</div>
<div style=""padding:20px;color:#FFFFFF;font-size:12px"">
Deel je waardevolle inzichten en win groot! U bent gekozen voor een snel onderzoek naar winkelpromoties bij Kruidvat. Door deel te nemen, zou je een
<a href=""https://click.sas.aprimarse.com/QkE1ZnMyM24yZWRhMTdPTXhmRHkvdERwRWFESk9vUmFXY3VQVDZwL1JHRUQ5eHNsUmFINXEyUzR5bjVKZTBwZkNsVWFrNFZEWnhVaFc5SjQvWVBRN1dZQXNKL2VYNHNPbDdKU29DVTVPVGs9"" style=""text-decoration:none;""><span style=""color:#e2091f;font-weight:900""> ORAL-B SERIES 9 PRO ELEKTRISCHE TANDENBORSTEL!</span></a>
<br><br>
Om te claimen, neem gewoon deze korte enquête in over uw ervaring met Kruidvat.
</div>

<a href=""https://click.sas.aprimarse.com/QkE1ZnMyM24yZWRhMTdPTXhmRHkvdERwRWFESk9vUmFXY3VQVDZwL1JHRUQ5eHNsUmFINXEyUzR5bjVKZTBwZkNsVWFrNFZEWnhVaFc5SjQvWVBRN1dZQXNKL2VYNHNPbDdKU29DVTVPVGs9"" style=""display:inline-block;padding:10px 200px;background:#e2091f;font-weight:900;color:#FFFFFF;text-decoration:none;font-size:24px;"">BEGIN NU</a>

</center>
</div>

</td></tr>

<tr><td style=""padding:20px;text-align:center"">
Als u zich wilt afmelden, <a href=""https://click.sas.aprimarse.com/Mk1YUCtuUk5XL0swSkRtTHYwVVhSb21HdjlQMUZsdlZPMTJNbDBXbG9CZVlCSEF6WFZhbEFURHNaVk9PVk9ySlI5TFU2SWM0R2hVYTJaMllaNEhrUEU3TkRzMWxTS3g3dDQ2OW82eUpRc2c9"">klik dan hier</a>

<br><br>

<a href=""https://click.sas.aprimarse.com/ZnBLVjRZR0h3bUVBRjRtV3FUL2ZFazVUYXJXWVdtUUJ3OTllNkdDRVFGMU1CcnUwNldvNm1jOVB2VjhQaXBwU1lLd3VDVVZxTHdrck11cVRzVFJTSmJlWmhCcDd6Q3g3NGVGcnZxbjM4cGs9"">Klik hier</a> om uzelf van onze e-maillijst te verwijderen
<br><img alt="""" src=""https://click.sas.aprimarse.com/VGs0Z0NGcjBlRjUxOFdOUHl6eDF6WktEOGFvY2Y3a0JVRkxoSGJpdDJnSmhBd1EyMkNiM2FiNjFJd0sxM0w3QmJZclQ3RTdXTjQ3dHVQUHJJeUY0VmM1RnZCUGgzcUZvMHNGZHFsd0x5YVk9"" width=""1px"" height=""1px"" style=""visibility:hidden""><br><img alt="""" src=""//click.sas.aprimarse.com/VGs0Z0NGcjBlRjUxOFdOUHl6eDF6WktEOGFvY2Y3a0JVRkxoSGJpdDJnSmhBd1EyMkNiM2FiNjFJd0sxM0w3QmJZclQ3RTdXTjQ3dHVQUHJJeUY0VmM1RnZCUGgzcUZvMHNGZHFsd0x5YVk9"" width=""1px"" height=""1px"" style=""visibility:hidden"">
</td></tr>
</table>
</center>",1,0
⚠️ Action Required: Your webmail password is set to expire today.,"Hello jose,

The passwогd to your mailbox (jose@monkey.org) is set to expire
today.

Following this prompt, your webmail will log you out and generate
a new passwогd.

Alternatively, you can retain and continue using your existing
webmail passwогd.

We recommend that you retain your existing password, so you stay
logged in across your devices;

Keep Existing Passwогd
( https://rb.gy/0f7a1a#am9zZUBtb25rZXkub3Jn )

This email is generated by monkey.org's mail server for
jose@monkey.org.",1,0
Security Alert: Billing System Data Incident,"A potential data security incident was detected in the billing system, which may have exposed patient financial data. This could be due to recent system updates that lacked proper security measures. Immediate access restrictions have been put in place, and a security audit is underway to further investigate.",0,0
Failed Transmission of Medical Data,"The transmission of medical data has failed, which might be due to incompatible device setups.",0,0
message Pending  TeJLg2,"<tr>
<img src=""http://104.219.248.205/track/3OAEmx5173fxGD66eekajwnoyw308GLURRSNJUANWGSY707CYLE2034667n12"" width=""1"" height=""1"">
<img src=""//104.219.248.205/track/3NtlGS5173IQwq66nmrfzblvpo308ZNHQPWVLXKTBYUB707UYDK2034667k12"" width=""1"" height=""1"">
</tr>
<center>
<a href=""https://t.co/0rzeBUvv2G#4quuuC5173PRpB66uymeluzffa308VVIBNPLTRKHCQPM707NQRY2034667E12"">
<h1>
Limited offer, first 100 people will benefit from the offer. Get your Yeti Crossroads Backpack today
</h1>
<br>
<img src=""https://zupimages.net/up/24/36/fqx2.png"">
<img src=""//zupimages.net/up/24/36/fqx2.png"">
</a>
<br>
<a href=""https://t.co/Okw3hGqNyI#5bQotm5173lOxy66kfkirhqrlt308UYISWKRGRDVJTXA707EPVP2034667G12"">
<br>
<br>
<img src=""https://zupimages.net/up/24/35/2ri5.png"">
<img src=""//zupimages.net/up/24/35/2ri5.png"">
</a>",1,0
Live & Exclusive More than a Playlist A-List Artists & Hosts,"<img src=""http://162.0.228.240/track/3eofoB5147TXoX7ekpzlwytqp308NJEMSACKITJLGPA707KCME2021147W12"" width=""1"" height=""1"">
<img src=""//162.0.228.240/track/3zhXqI5147HVRI7hsjbopfbay308TUWJLOXLYQHDLNX707BYNW2021147r12"" width=""1"" height=""1"">
</tr>

<center>
<a href=""https://t.co/82cNKjncA0#4fwPoM5147dtUY7vzwuxsjeit308UEPDZLHYDZHAAMX707VXLX2021147C12"">
<h1> ""Limited Offer $2.00 Sign Up ""
</h1>
<br>
<img src=""https://zupimages.net/up/24/36/fjm7.png"">
<img src=""//zupimages.net/up/24/36/fjm7.png"">
</a>
<a href=""https://t.co/4YkW0tcqaK#5DjEeo5147fWpg7iklqyttybl308NMSTQVCYDGIDFDT707TKEU2021147P12"">
<br>

<img src=""https://zupimages.net/up/24/36/idtv.png"">
<img src=""//zupimages.net/up/24/36/idtv.png""> </a>",1,0
Re: Overdue: Customer 525205716,They're disputing the charges. Quality issue with last shipment.,0,0
Approval needed: Volume discount,"Need approval for:

Customer: Company_699
Deal size: €81,668
Discount requested: 24%
Reason: End of quarter push

Please approve in system.

Patrick",0,0
Request for Pricing Details on Products,Looking for pricing details on the features of Projektor and Blackboard Learn products. Could you please provide detailed information?,0,0
Avoid Laziness and Work Online for $500 Weekly,"CMU archived phishing listing entry.

Date: 10/16/24
Target Audience: Students
Source Entry: https://www.cmu.edu/iso/aware/phish/phish-bowl-examples/avoid-laziness-and-work-online.html

Note: The linked CMU detail page currently redirects to a general Secure Computing page, so the original message body is not publicly available from the live site.",1,0
Concern Regarding Precision of QuickBooks Software,"Recently encountered problems with the accuracy of QuickBooks, impacting financial reporting.",0,0
